site_number,min,max,mean,std,location_description,site_type,directory,map_reference,latitude,longitude,flow_file_location,has_invalid_coordinate
970,0.0,1332.0,584.3145161290323,412.44077980320196,WARRIGAL/HIGH ST RD,INT,Melway,060G10,-37.86703,145.09159,WARRIGAL_RD N of HIGH STREET_RD,False
2000,13.0,1409.0,616.8516522988506,408.20170278792926,BURWOOD HWY/WARRIGAL,INT,Melway,060H06,-37.8516827,145.0943457,WARRIGAL_RD N of TOORAK_RD,False
2200,0.0,822.0,330.49495967741933,235.81659439715855,MAROONDAH/UNION,INT,Melway,046H08,-37.81631,145.09812,UNION_RD N of MAROONDAH_HWY,False
2820,0.0,610.0,222.96706989247312,160.13050641058607,CHANDLER HWY/PRINCESS ST,INT,Melway,045C02,-37.79477,145.03077,EARL_ST SE of PRINCESS_ST,False
2825,0.0,455.0,144.8111559139785,104.4796725348177,EASTERN/BURKE ON RAMP,INT,Melway,031K12,-37.78661,145.06202,BURKE_RD S of EASTERN_FWY,False
2827,12.0,1295.0,483.7563844086022,330.4425086998709,EASTERN FWY/BULLEEN/THOMPSONS,INT,Melway,032D11,-37.78093,145.07733,BULLEEN_RD N of THOMPSONS_RD,False
2846,0.0,828.0,285.05913978494624,207.1147399218772,MONASH/HIGH/WILLS,INT,Melway,059J08,-37.8612671,145.058038,S.E.ARTERIAL N OF HIGH_ST,False
3001,0.0,1221.0,434.2409274193548,271.89551271329765,BARKERS/CHURCH/HIGH,INT,Melway,045A08,-37.81441,145.02243,HIGH_ST NE of BARKERS_RD,False
3002,0.0,1103.0,483.79487179487177,322.6594989990722,BARKERS/DENMARK/POWER,INT,Melway,045B08,-37.81489,145.02663,DENMARK_ST N of BARKERS_RD,False
3120,93.0,974.0,482.4445564516129,245.46722306093858,BURKE/CANTERBURY,INT,Melway,045J10,-37.82264,145.05734,BURKE_RD N of CANTERBURY_RD,False
3122,0.0,848.0,362.2829301075269,258.25421504307036,CANTERBURY/STANHOPE,INT,Melway,046A10,-37.82379,145.06466,CANTERBURY_RD E of STANHOPE_GV,False
3126,7.0,943.0,413.4929435483871,267.9412564816767,CANTERBURY/WARRIGAL,INT,Melway,046H11,-37.82778,145.09885,CANTERBURY_RD E of WARRIGAL_RD,False
3127,3.0,857.0,371.53125,258.4518712730265,CANTERBURY/BALWYN,INT,Melway,046D11,-37.82506,145.078,BALWYN_RD N of CANTERBURY_RD,False
3180,1.0,678.0,231.47043010752688,171.66772614838763,DONCASTER/BALWYN,INT,Melway,046E03,-37.79611,145.08372,DONCASTER_RD E of BALWYN_RD,False
3662,0.0,1057.0,442.2956989247312,288.7340620418298,HIGH/DENMARK/PRINCESS/S'PARK,INT,Melway,045C06,-37.80876,145.02757,PRINCESS_ST N of HIGH_ST,False
3682,0.0,1029.0,389.23168103448273,288.886572056951,WARRIGAL/RIVERSDALE,INT,Melway,060H02,-37.83695,145.09699,WARRIGAL_RD N OF RIVERSDALE_RD,False
3685,0.0,1124.0,435.658938172043,322.52908087097694,WARRIGAL/HIGHBURY,INT,Melway,060G07,-37.85467,145.09384,WARRIGAL_RD N of HIGHBURY_RD,False
3804,0.0,1019.0,389.6831317204301,289.128792908065,RIVERSDALE/TRAFALGAR,INT,Melway,059K01,-37.83331,145.06247,TRAFALGAR_RD N of RIVERSDALE_RD,False
3812,0.0,1199.0,363.8645833333333,276.87080773741906,CAMBERWELL/SEYMOUR/TRAFALGAR,INT,Melway,059K02,-37.83738,145.06119,TRAFALGAR_RD NE of CAMBERWELL_RD,False
4030,2.0,605.0,254.51008064516128,159.9064933673286,BURKE/DONCASTER/KILBY/HIGH,INT,Melway,045K02,-37.79561,145.06251,BURKE_RD S of DONCASTER_RD,False
4032,11.0,1192.0,430.85483870967744,284.03864176121147,BURKE/BELMORE/HARP,INT,Melway,045K04,-37.80202,145.06127,BURKE_RD N of HARP_RD,False
4034,0.0,1028.0,454.46639784946234,290.6630384065474,BURKE/COTHAM/WHITEHORSE,INT,Melway,045K07,-37.81147,145.05946,BURKE_RD N OF WHITEHORSE_RD,False
4035,0.0,912.0,433.8363575268817,268.8889704361704,BURKE/BARKERS/MONT ALBERT,INT,Melway,045J09,-37.8172654,145.0583603,BURKE_RD N of MONT ALBERT_RD,False
4040,17.0,910.0,436.06014784946234,243.3342275492425,BURKE/CAMBERWELL/RIVERSDALE,INT,Melway,059J01,-37.83256,145.05545,BURKE_RD N of RIVERSDALE_RD,False
4043,18.0,1151.0,536.963373655914,330.5294194855504,BURKE/TOORAK,INT,Melway,059H05,-37.84683,145.05275,BURKE_RD N of TOORAK_RD,False
4051,0.0,366.0,145.2967069892473,101.85507748423984,DONCASTER/BULLEEN/SEVERN,INT,Melway,046B02,-37.79419,145.0696,DONCASTER_RD E of BULLEEN_RD,False
4057,0.0,864.0,311.5608198924731,238.23229183115768,BALWYN/BELMORE,INT,Melway,046E05,-37.80431,145.08197,BALWYN_RD N OF BELMORE_RD,False
4063,0.0,738.0,335.11559139784947,227.4412527244348,WHITEHORSE/BALWYN,INT,Melway,046D08,-37.81404,145.0801,BALWYN_RD N OF WHITEHORSE_RD,False
4262,3.0,419.0,130.19431089743588,84.41719747863104,BURWOOD/CHURCH,INT,Melway,2H-J07,-37.82155,145.01503,BRIDGE_RD SW of BURWOOD_RD,False
4263,16.0,1028.0,458.7692307692308,294.66773045842035,BURWOOD/POWER,INT,Melway,045B10,-37.8228462,145.0251292,POWER_ST N of BURWOOD_RD,False
4264,10.0,874.0,391.9287634408602,229.34439766162356,BURWOOD/GLENFERRIE,INT,Melway,045D10,-37.82389,145.03409,GLENFERRIE_RD N of BURWOOD_RD,False
4266,0.0,1037.0,451.94590053763443,296.13147675660196,BURWOOD/AUBURN,INT,Melway,045F11,0.0,0.0,AUBURN_RD N of BURWOOD_RD,True
4270,13.0,793.0,377.05040322580646,223.97420952933652,GLENFERRIE/RIVERSDALE,INT,Melway,045D12,-37.82951,145.03304,GLENFERRIE_RD N of RIVERSDALE_RD,False
4272,0.0,618.0,253.55625,170.45568830871412,RIVERSDALE/TOORONGA,INT,Melway,045G12,-37.83186,145.04668,RIVERSDALE_RD E of TOORONGA_RD,False
4273,0.0,616.0,220.48084677419354,161.30892634031213,TOORAK/TOORONGA,INT,Melway,059F05,-37.84632,145.04378,TOORONGA_RD N of TOORAK_RD,False
4321,0.0,765.0,271.27016129032256,193.86749940224166,HIGH/HARP/VALERIE,INT,Melway,045G04,-37.800776,145.0494611,HIGH_ST NE OF HARP_ST,False
4324,0.0,591.0,220.7772177419355,147.20149489486053,COTHAM/GLENFERRIE,INT,Melway,045E06,-37.809274,145.037306,COTHAM_RD E OF GLENFERRIE_RD,False
4335,0.0,537.0,224.6209677419355,153.9720660593751,HIGH/CHARLES,INT,Melway,045D05,-37.80624,145.03518,HIGH_ST NE of CHARLES_ST,False
4812,10.0,689.0,273.0232371794872,179.80118908419269,SWAN/MADDEN,INT,Melway,2H-J11,-37.82859,145.01644,SWAN_ST NE of MADDEN_GV,False
4821,9.0,779.0,330.432123655914,214.14366205025846,VICTORIA/BURNLEY/WALMER,INT,Melway,2H-F02,-37.81285,145.00849,WALMER_ST N OF VICTORIA_ST,False
