site_number,n_total_steps,missing_count_before,missing_ratio_before,longest_missing_run_before,missing_count_after,missing_ratio_after,longest_missing_run_after,usable,supervised_sample_count,latitude,longitude,has_invalid_coordinate
970,2976,0,0.0,0,0,0.0,0,True,2972,-37.86703,145.09159,False
2000,2976,192,0.06451612903225806,192,192,0.06451612903225806,192,False,2776,-37.8516827,145.0943457,False
2200,2976,0,0.0,0,0,0.0,0,True,2972,-37.81631,145.09812,False
2820,2976,0,0.0,0,0,0.0,0,True,2972,-37.79477,145.03077,False
2825,2976,0,0.0,0,0,0.0,0,True,2972,-37.78661,145.06202,False
2827,2976,0,0.0,0,0,0.0,0,True,2972,-37.78093,145.07733,False
2846,2976,0,0.0,0,0,0.0,0,True,2972,-37.8612671,145.058038,False
3001,2976,0,0.0,0,0,0.0,0,True,2972,-37.81441,145.02243,False
3002,2976,480,0.16129032258064516,480,480,0.16129032258064516,480,False,2488,-37.81489,145.02663,False
3120,2976,0,0.0,0,0,0.0,0,True,2972,-37.82264,145.05734,False
3122,2976,0,0.0,0,0,0.0,0,True,2972,-37.82379,145.06466,False
3126,2976,0,0.0,0,0,0.0,0,True,2972,-37.82778,145.09885,False
3127,2976,480,0.16129032258064516,480,480,0.16129032258064516,480,False,2488,-37.82506,145.078,False
3180,2976,0,0.0,0,0,0.0,0,True,2972,-37.79611,145.08372,False
3662,2976,0,0.0,0,0,0.0,0,True,2972,-37.80876,145.02757,False
3682,2976,192,0.06451612903225806,192,192,0.06451612903225806,192,False,2776,-37.83695,145.09699,False
3685,2976,0,0.0,0,0,0.0,0,True,2972,-37.85467,145.09384,False
3804,2976,0,0.0,0,0,0.0,0,True,2972,-37.83331,145.06247,False
3812,2976,0,0.0,0,0,0.0,0,True,2972,-37.83738,145.06119,False
4030,2976,0,0.0,0,0,0.0,0,True,2972,-37.79561,145.06251,False
4032,2976,0,0.0,0,0,0.0,0,True,2972,-37.80202,145.06127,False
4034,2976,0,0.0,0,0,0.0,0,True,2972,-37.81147,145.05946,False
4035,2976,0,0.0,0,0,0.0,0,True,2972,-37.8172654,145.0583603,False
4040,2976,0,0.0,0,0,0.0,0,True,2972,-37.83256,145.05545,False
4043,2976,0,0.0,0,0,0.0,0,True,2972,-37.84683,145.05275,False
4051,2976,0,0.0,0,0,0.0,0,True,2972,-37.79419,145.0696,False
4057,2976,0,0.0,0,0,0.0,0,True,2972,-37.80431,145.08197,False
4063,2976,0,0.0,0,0,0.0,0,True,2972,-37.81404,145.0801,False
4262,2976,480,0.16129032258064516,480,480,0.16129032258064516,480,False,2488,-37.82155,145.01503,False
4263,2976,480,0.16129032258064516,480,480,0.16129032258064516,480,False,2488,-37.8228462,145.0251292,False
4264,2976,0,0.0,0,0,0.0,0,True,2972,-37.82389,145.03409,False
4266,2976,0,0.0,0,0,0.0,0,True,2972,0.0,0.0,True
4270,2976,0,0.0,0,0,0.0,0,True,2972,-37.82951,145.03304,False
4272,2976,96,0.03225806451612903,96,96,0.03225806451612903,96,False,2876,-37.83186,145.04668,False
4273,2976,0,0.0,0,0,0.0,0,True,2972,-37.84632,145.04378,False
4321,2976,0,0.0,0,0,0.0,0,True,2972,-37.800776,145.0494611,False
4324,2976,0,0.0,0,0,0.0,0,True,2972,-37.809274,145.037306,False
4335,2976,0,0.0,0,0,0.0,0,True,2972,-37.80624,145.03518,False
4812,2976,480,0.16129032258064516,480,480,0.16129032258064516,480,False,2488,-37.82859,145.01644,False
4821,2976,0,0.0,0,0,0.0,0,True,2972,-37.81285,145.00849,False
